,Time (s),X (hPa),label
0,1.5596532e+18,1010.122986,nothing
1,1.55965320104e+18,1010.122757,nothing
2,1.55965320207e+18,1010.122528,nothing
3,1.55965320311e+18,1010.120316,nothing
4,1.55965320415e+18,1010.118408,nothing
5,1.55965320519e+18,1010.120316,nothing
6,1.55965320623e+18,1010.117569,nothing
7,1.55965320727e+18,1010.11322,nothing
8,1.55965320735e+18,1010.11322,nothing
9,1.55965320839e+18,1010.114136,nothing
10,1.55965320943e+18,1010.114136,nothing
11,1.55965321046e+18,1010.112381,nothing
12,1.5596532115e+18,1010.112152,nothing
13,1.55965321254e+18,1010.111237,nothing
14,1.55965321358e+18,1010.109253,nothing
15,1.55965321462e+18,1010.105362,nothing
16,1.55965321566e+18,1010.099182,nothing
17,1.5596532167e+18,1010.094757,nothing
18,1.55965321774e+18,1010.088043,nothing
19,1.55965321877e+18,1010.082779,nothing
20,1.55965321981e+18,1010.082779,nothing
21,1.55965322085e+18,1010.083618,nothing
22,1.55965322189e+18,1010.084,nothing
23,1.55965322293e+18,1010.084381,nothing
24,1.55965322396e+18,1010.08873,nothing
25,1.559653225e+18,1010.089035,nothing
26,1.55965322604e+18,1010.089798,nothing
27,1.55965322708e+18,1010.09079,nothing
28,1.55965322812e+18,1010.09285,nothing
29,1.55965322916e+18,1010.093384,nothing
30,1.5596532302e+18,1010.095367,nothing
31,1.55965323124e+18,1010.09697,nothing
32,1.55965323227e+18,1010.09697,nothing
33,1.55965323331e+18,1010.096817,nothing
34,1.55965323435e+18,1010.095139,nothing
35,1.55965323539e+18,1010.089417,nothing
36,1.55965323642e+18,1010.087585,nothing
37,1.55965323746e+18,1010.08522,nothing
38,1.5596532385e+18,1010.084991,nothing
39,1.55965323954e+18,1010.084991,nothing
40,1.55965324058e+18,1010.085754,nothing
41,1.55965324162e+18,1010.085754,nothing
42,1.55965324266e+18,1010.085754,nothing
43,1.5596532437e+18,1010.086365,nothing
44,1.55965324473e+18,1010.086365,nothing
45,1.55965324577e+18,1010.083771,nothing
46,1.55965324681e+18,1010.083466,nothing
47,1.55965324785e+18,1010.081787,nothing
48,1.55965324889e+18,1010.080185,nothing
49,1.55965324992e+18,1010.079651,nothing
50,1.55965325096e+18,1010.080185,nothing
51,1.559653252e+18,1010.081558,nothing
52,1.55965325304e+18,1010.085449,nothing
53,1.55965325408e+18,1010.087357,nothing
54,1.55965325512e+18,1010.087357,nothing
55,1.55965325616e+18,1010.086517,nothing
56,1.5596532572e+18,1010.082855,nothing
57,1.55965325823e+18,1010.077286,nothing
58,1.55965325927e+18,1010.072556,nothing
59,1.55965326031e+18,1010.071487,nothing
60,1.55965326135e+18,1010.071487,nothing
61,1.55965326239e+18,1010.07164,nothing
62,1.55965326343e+18,1010.071869,nothing
63,1.55965326447e+18,1010.071869,nothing
64,1.55965326551e+18,1010.065079,nothing
65,1.55965326654e+18,1010.058975,nothing
66,1.55965326758e+18,1010.054703,nothing
67,1.55965326862e+18,1010.048065,nothing
68,1.55965326966e+18,1010.046616,nothing
69,1.5596532707e+18,1010.046616,nothing
70,1.55965327174e+18,1010.046768,nothing
71,1.55965327277e+18,1010.047302,nothing
72,1.55965327381e+18,1010.047684,nothing
73,1.55965327485e+18,1010.047302,nothing
74,1.55965327589e+18,1010.045853,nothing
75,1.55965327693e+18,1010.044785,nothing
76,1.55965327797e+18,1010.041962,nothing
77,1.55965327901e+18,1010.038681,nothing
78,1.55965328004e+18,1010.038681,nothing
79,1.55965328108e+18,1010.037384,nothing
80,1.55965328212e+18,1010.036545,nothing
81,1.55965328316e+18,1010.03479,nothing
82,1.5596532842e+18,1010.034714,nothing
83,1.55965328524e+18,1010.034027,nothing
84,1.55965328627e+18,1010.03273,nothing
85,1.55965328731e+18,1010.03273,nothing
86,1.55965328835e+18,1010.033112,nothing
87,1.55965328939e+18,1010.035934,nothing
88,1.55965329043e+18,1010.03891,nothing
89,1.55965329147e+18,1010.04097,nothing
90,1.5596532925e+18,1010.041962,nothing
91,1.55965329354e+18,1010.041962,nothing
92,1.55965329458e+18,1010.037766,nothing
93,1.55965329562e+18,1010.033722,nothing
94,1.55965329666e+18,1010.030136,nothing
95,1.55965329769e+18,1010.027924,nothing
96,1.55965329873e+18,1010.027924,nothing
97,1.55965329977e+18,1010.029221,nothing
98,1.55965330081e+18,1010.029221,nothing
99,1.55965330185e+18,1010.028687,nothing
100,1.55965330289e+18,1010.026321,nothing
101,1.55965330392e+18,1010.024338,nothing
102,1.55965330496e+18,1010.018997,nothing
103,1.559653306e+18,1010.017548,nothing
104,1.55965330704e+18,1010.017548,nothing
105,1.55965330808e+18,1010.018463,nothing
106,1.55965330912e+18,1010.020447,nothing
107,1.55965331015e+18,1010.024033,nothing
108,1.55965331119e+18,1010.024338,nothing
109,1.55965331223e+18,1010.024033,nothing
110,1.55965331327e+18,1010.023956,nothing
111,1.55965331431e+18,1010.02121,nothing
112,1.55965331535e+18,1010.016708,nothing
113,1.55965331639e+18,1010.012894,nothing
114,1.55965331742e+18,1010.009689,nothing
115,1.55965331846e+18,1010.008316,nothing
116,1.5596533195e+18,1010.003586,nothing
117,1.55965332054e+18,1010.003586,nothing
118,1.55965332158e+18,1010.00351,nothing
119,1.55965332262e+18,1010.003052,nothing
120,1.55965332365e+18,1010.001144,nothing
121,1.55965332469e+18,1009.999924,nothing
122,1.55965332573e+18,1009.999084,nothing
123,1.55965332677e+18,1009.998016,nothing
124,1.55965332781e+18,1009.997177,nothing
125,1.55965332884e+18,1009.997177,nothing
126,1.55965332988e+18,1009.997253,nothing
127,1.55965333092e+18,1009.997253,nothing
128,1.55965333196e+18,1009.996262,nothing
129,1.55965333299e+18,1009.996033,nothing
130,1.55965333403e+18,1009.993744,nothing
131,1.55965333507e+18,1009.991531,nothing
132,1.55965333611e+18,1009.990387,nothing
133,1.55965333715e+18,1009.989548,nothing
134,1.55965333818e+18,1009.987259,nothing
135,1.55965333922e+18,1009.985504,nothing
136,1.55965334026e+18,1009.982147,nothing
137,1.5596533413e+18,1009.980392,nothing
138,1.55965334234e+18,1009.980392,nothing
139,1.55965334338e+18,1009.984055,nothing
140,1.55965334441e+18,1009.989548,nothing
141,1.55965334545e+18,1009.994278,nothing
142,1.55965334649e+18,1009.994659,nothing
143,1.55965334753e+18,1009.994278,nothing
144,1.55965334857e+18,1009.992447,nothing
145,1.55965334961e+18,1009.986877,nothing
146,1.55965335064e+18,1009.981079,nothing
147,1.55965335168e+18,1009.979095,nothing
148,1.55965335272e+18,1009.978333,nothing
149,1.55965335376e+18,1009.977493,nothing
150,1.5596533548e+18,1009.975128,nothing
151,1.55965335584e+18,1009.975128,nothing
152,1.55965335688e+18,1009.975128,nothing
153,1.55965335791e+18,1009.974365,nothing
154,1.55965335895e+18,1009.969025,nothing
155,1.55965335999e+18,1009.963989,nothing
156,1.55965336103e+18,1009.957047,nothing
157,1.55965336207e+18,1009.952164,nothing
158,1.55965336311e+18,1009.948273,nothing
159,1.55965336414e+18,1009.948196,nothing
160,1.55965336518e+18,1009.948196,nothing
161,1.55965336622e+18,1009.948196,nothing
162,1.55965336726e+18,1009.94751,nothing
163,1.5596533683e+18,1009.946518,nothing
164,1.55965336934e+18,1009.946518,nothing
165,1.55965337037e+18,1009.948273,nothing
166,1.55965337141e+18,1009.950256,nothing
167,1.55965337245e+18,1009.95079,nothing
168,1.55965337349e+18,1009.952011,nothing
169,1.55965337453e+18,1009.952011,nothing
170,1.55965337556e+18,1009.950638,nothing
171,1.5596533766e+18,1009.950485,nothing
172,1.55965337764e+18,1009.950485,nothing
173,1.55965337868e+18,1009.950562,nothing
174,1.55965337972e+18,1009.950562,nothing
175,1.55965338075e+18,1009.951096,nothing
176,1.55965338179e+18,1009.950562,nothing
177,1.55965338283e+18,1009.950562,nothing
178,1.55965338387e+18,1009.948807,nothing
179,1.55965338491e+18,1009.942169,nothing
180,1.55965338594e+18,1009.941254,nothing
181,1.55965338698e+18,1009.93988,nothing
182,1.55965338802e+18,1009.93988,nothing
183,1.55965338906e+18,1009.940109,nothing
184,1.5596533901e+18,1009.943466,nothing
185,1.55965339113e+18,1009.945068,nothing
186,1.55965339217e+18,1009.947815,nothing
187,1.55965339321e+18,1009.948578,nothing
188,1.55965339425e+18,1009.949875,nothing
189,1.55965339529e+18,1009.95163,nothing
190,1.55965339633e+18,1009.95163,nothing
191,1.55965339737e+18,1009.948425,nothing
192,1.55965339841e+18,1009.946136,nothing
193,1.55965339945e+18,1009.945831,nothing
194,1.55965340048e+18,1009.945831,nothing
195,1.55965340152e+18,1009.948959,nothing
196,1.55965340256e+18,1009.95163,nothing
197,1.5596534036e+18,1009.955215,nothing
198,1.55965340464e+18,1009.957581,nothing
199,1.55965340567e+18,1009.957581,nothing
200,1.55965340671e+18,1009.957352,nothing
201,1.55965340775e+18,1009.955673,nothing
202,1.55965340879e+18,1009.954529,nothing
203,1.55965340983e+18,1009.954376,nothing
204,1.55965341087e+18,1009.954453,nothing
205,1.55965341191e+18,1009.954453,nothing
206,1.55965341294e+18,1009.954834,nothing
207,1.55965341398e+18,1009.954834,nothing
208,1.55965341502e+18,1009.954529,nothing
209,1.55965341606e+18,1009.95285,nothing
210,1.5596534171e+18,1009.950638,nothing
211,1.55965341813e+18,1009.950638,nothing
212,1.55965341917e+18,1009.949722,nothing
213,1.55965342021e+18,1009.951324,nothing
214,1.55965342125e+18,1009.949722,nothing
215,1.55965342229e+18,1009.949722,nothing
216,1.55965342333e+18,1009.948502,nothing
217,1.55965342436e+18,1009.946594,nothing
218,1.5596534254e+18,1009.946594,nothing
219,1.55965342644e+18,1009.946594,nothing
220,1.55965342748e+18,1009.947052,nothing
221,1.55965342852e+18,1009.947891,nothing
222,1.55965342956e+18,1009.950867,nothing
223,1.55965343059e+18,1009.950867,nothing
224,1.55965343163e+18,1009.950562,nothing
225,1.55965343267e+18,1009.949341,nothing
226,1.55965343371e+18,1009.949036,nothing
227,1.55965343475e+18,1009.949036,nothing
228,1.55965343579e+18,1009.949036,nothing
229,1.55965343682e+18,1009.949188,nothing
230,1.55965343786e+18,1009.948502,nothing
231,1.5596534389e+18,1009.94606,nothing
232,1.55965343994e+18,1009.945679,nothing
233,1.55965344098e+18,1009.945679,nothing
234,1.55965344201e+18,1009.945602,nothing
235,1.55965344305e+18,1009.945602,nothing
236,1.55965344409e+18,1009.946671,nothing
237,1.55965344513e+18,1009.946671,nothing
238,1.55965344617e+18,1009.946213,nothing
239,1.55965344721e+18,1009.946213,nothing
240,1.55965344825e+18,1009.946823,nothing
241,1.55965344929e+18,1009.946823,nothing
242,1.55965345033e+18,1009.946823,nothing
243,1.55965345137e+18,1009.944992,nothing
244,1.5596534524e+18,1009.942169,nothing
245,1.55965345344e+18,1009.940567,nothing
246,1.55965345448e+18,1009.935837,nothing
247,1.55965345552e+18,1009.934616,nothing
248,1.55965345656e+18,1009.934082,nothing
249,1.5596534576e+18,1009.934616,nothing
250,1.55965345863e+18,1009.934845,nothing
251,1.55965345967e+18,1009.935074,nothing
252,1.55965346071e+18,1009.935074,nothing
253,1.55965346175e+18,1009.935074,nothing
254,1.55965346279e+18,1009.935532,nothing
255,1.55965346382e+18,1009.935684,nothing
256,1.55965346486e+18,1009.935684,nothing
257,1.5596534659e+18,1009.938278,nothing
258,1.55965346694e+18,1009.939728,nothing
259,1.55965346798e+18,1009.943466,nothing
260,1.55965346902e+18,1009.944611,nothing
261,1.55965347005e+18,1009.947205,nothing
262,1.55965347109e+18,1009.947205,nothing
263,1.55965347213e+18,1009.946823,nothing
264,1.55965347317e+18,1009.943085,nothing
265,1.55965347421e+18,1009.942093,nothing
266,1.55965347525e+18,1009.936981,nothing
267,1.55965347628e+18,1009.925919,nothing
268,1.55965347732e+18,1009.919357,nothing
269,1.55965347836e+18,1009.915771,nothing
270,1.5596534794e+18,1009.91333,nothing
271,1.55965348044e+18,1009.91333,nothing
272,1.55965348148e+18,1009.91951,nothing
273,1.55965348251e+18,1009.924316,nothing
274,1.55965348355e+18,1009.926147,nothing
275,1.55965348459e+18,1009.92836,nothing
276,1.55965348563e+18,1009.928589,nothing
277,1.55965348667e+18,1009.929657,nothing
278,1.55965348771e+18,1009.930267,nothing
279,1.55965348875e+18,1009.930573,nothing
280,1.55965348979e+18,1009.930573,nothing
281,1.55965349082e+18,1009.930725,nothing
282,1.55965349186e+18,1009.930725,nothing
283,1.5596534929e+18,1009.930344,nothing
284,1.55965349394e+18,1009.927521,nothing
285,1.55965349498e+18,1009.926987,nothing
286,1.55965349602e+18,1009.925308,nothing
287,1.55965349705e+18,1009.925308,nothing
288,1.55965349809e+18,1009.924698,nothing
289,1.55965349913e+18,1009.925919,nothing
290,1.55965350017e+18,1009.927902,nothing
291,1.55965350121e+18,1009.930725,nothing
292,1.55965350225e+18,1009.931641,nothing
293,1.55965350328e+18,1009.93454,nothing
294,1.55965350432e+18,1009.937515,nothing
295,1.55965350536e+18,1009.937515,nothing
296,1.5596535064e+18,1009.933853,nothing
297,1.55965350744e+18,1009.930115,nothing
298,1.55965350848e+18,1009.924164,nothing
299,1.55965350951e+18,1009.922104,nothing
300,1.55965351055e+18,1009.922104,nothing
301,1.55965351159e+18,1009.923401,nothing
302,1.55965351263e+18,1009.928131,nothing
303,1.55965351367e+18,1009.932709,nothing
304,1.55965351471e+18,1009.932709,nothing
305,1.55965351574e+18,1009.927826,nothing
306,1.55965351678e+18,1009.922333,nothing
307,1.55965351782e+18,1009.916611,nothing
308,1.55965351886e+18,1009.911118,nothing
309,1.5596535199e+18,1009.909592,nothing
310,1.55965352094e+18,1009.909592,nothing
311,1.55965352198e+18,1009.911728,nothing
312,1.55965352301e+18,1009.913177,nothing
313,1.55965352405e+18,1009.91539,nothing
314,1.55965352509e+18,1009.917068,nothing
315,1.55965352613e+18,1009.917068,nothing
316,1.55965352717e+18,1009.915848,nothing
317,1.55965352821e+18,1009.913788,nothing
318,1.55965352925e+18,1009.913101,nothing
319,1.55965353028e+18,1009.910583,nothing
320,1.55965353132e+18,1009.909973,nothing
321,1.55965353236e+18,1009.909973,nothing
322,1.5596535334e+18,1009.909973,nothing
323,1.55965353444e+18,1009.909973,nothing
324,1.55965353547e+18,1009.909134,nothing
325,1.55965353651e+18,1009.905472,nothing
326,1.55965353755e+18,1009.904022,nothing
327,1.55965353859e+18,1009.903793,nothing
328,1.55965353963e+18,1009.903793,nothing
329,1.55965354067e+18,1009.904022,nothing
330,1.5596535417e+18,1009.904022,nothing
331,1.55965354274e+18,1009.904022,nothing
332,1.55965354378e+18,1009.904022,nothing
333,1.55965354482e+18,1009.90593,nothing
334,1.55965354586e+18,1009.907074,nothing
335,1.5596535469e+18,1009.909973,nothing
336,1.55965354794e+18,1009.913025,nothing
337,1.55965354897e+18,1009.915695,nothing
338,1.55965355001e+18,1009.916763,nothing
339,1.55965355105e+18,1009.917297,nothing
340,1.55965355209e+18,1009.917297,nothing
