,Time (s),Latitude (째),Longitude (째),Height (m),Velocity (m/s),Direction (째),Horizontal Accuracy (m),Vertical Accuracy (째),label
0,1.5596532e+18,52.29330325,4.968719756,0.06120866537,-1.0,-1.0,1414.0,1414.0,train
1,1.55965320738e+18,52.29279896,4.969282345,0.06120866537,-1.0,-1.0,1519.23076,1519.23076,train
2,1.55965320742e+18,52.29279779,4.969283654,0.06120866537,-1.0,-1.0,1519.231521,1519.231521,train
3,1.55965320979e+18,52.29289525,4.969242225,0.06120866537,-1.0,-1.0,1414.0,1414.0,train
4,1.5596532114e+18,52.29294471,4.9692162,0.06120866537,-1.0,-1.0,1414.0,1414.0,train
5,1.55965323195e+18,52.28426177,4.970989875,0.06120866537,-1.0,-1.0,1414.0,1414.0,train
6,1.55965323198e+18,52.28108831,4.971464327,0.06120866537,-1.0,-1.0,1414.0,1414.0,train
7,1.55965323353e+18,52.27888795,4.972464506,0.06120866537,-1.0,-1.0,1414.0,1414.0,train
8,1.55965323355e+18,52.2778688,4.972937244,0.06120866537,-1.0,-1.0,1414.0,1414.0,train
9,1.55965324393e+18,52.28374609,4.98163461,0.06120866537,-1.0,-1.0,1463.980675,1463.980675,train
10,1.55965324395e+18,52.28734969,4.986009219,0.06120866537,-1.0,-1.0,1463.981089,1463.981089,train
11,1.55965324833e+18,52.2889475,4.983253736,0.06120866537,-1.0,-1.0,1472.954928,1472.954928,train
12,1.55965324952e+18,52.29008106,4.981290536,0.06120866537,-1.0,-1.0,1473.633755,1473.633755,train
13,1.55965324957e+18,52.2908437,4.97996714,0.06120866537,-1.0,-1.0,1473.6348,1473.6348,train
14,1.55965324969e+18,52.2913363,4.979112516,0.06120866537,-1.0,-1.0,1473.641645,1473.641645,train
15,1.55965324976e+18,52.29165672,4.978556498,0.06120866537,-1.0,-1.0,1473.644021,1473.644021,train
16,1.55965325015e+18,52.29185688,4.978209841,0.06120866537,-1.0,-1.0,1473.718219,1473.718219,train
17,1.55965325016e+18,52.29199557,4.977968807,0.06120866537,-1.0,-1.0,1473.718257,1473.718257,train
18,1.55965325173e+18,52.29204967,4.97787796,0.06120866537,-1.0,-1.0,1474.904218,1474.904218,train
19,1.55965325379e+18,52.29207511,4.97783667,0.06120866537,-1.0,-1.0,1476.94649,1476.94649,train
20,1.55965325444e+18,52.28480431,4.976558214,0.06120866537,-1.0,-1.0,1414.0,1414.0,train
21,1.55965326683e+18,52.28226458,4.984393264,0.06120866537,-1.0,-1.0,1486.286267,1486.286267,train
22,1.55965326701e+18,52.28112903,4.988204063,0.06120866537,-1.0,-1.0,1486.301721,1486.301721,train
23,1.55965326702e+18,52.28053013,4.990218645,0.06120866537,-1.0,-1.0,1486.301732,1486.301732,train
24,1.55965326744e+18,52.28020187,4.991311569,0.06120866537,-1.0,-1.0,1486.386952,1486.386952,train
25,1.55965328244e+18,52.27972188,4.992592899,0.06120866537,-1.0,-1.0,1582.0,1582.0,train
26,1.55965333341e+18,52.27954185,4.993183553,0.06120866537,-1.0,-1.0,1582.0,1582.0,train
27,1.55965333341e+18,52.27969682,4.992842091,0.06120866537,-1.0,-1.0,1582.0,1582.0,train
28,1.55965333355e+18,52.2655532,4.993885225,0.06120866537,-1.0,-1.0,1582.00793,1582.00793,train
29,1.559653334e+18,52.25751739,4.994481524,0.06120866537,-1.0,-1.0,1582.092968,1582.092968,train
30,1.55965333631e+18,52.26129397,4.983604017,0.06120866537,-1.0,-1.0,1584.298187,1584.298187,train
31,1.55965333634e+18,52.26331455,4.977798713,0.06120866537,-1.0,-1.0,1584.298676,1584.298676,train
32,1.55965334193e+18,52.25316136,4.986611852,0.06120866537,-1.0,-1.0,1597.222596,1597.222596,train
33,1.55965334195e+18,52.24630032,4.992561862,0.06120866537,-1.0,-1.0,1597.222734,1597.222734,train
34,1.55965339003e+18,52.24316188,5.005377009,0.06120866537,-1.0,-1.0,2402.462341,2402.462341,train
35,1.55965339006e+18,52.24560557,5.008868984,0.06120866537,-1.0,-1.0,2402.462627,2402.462627,train
36,1.55965340795e+18,52.23098969,5.008083086,0.06120866537,-1.0,-1.0,1414.0,1414.0,train
37,1.55965340797e+18,52.22872889,5.00777285,0.06120866537,-1.0,-1.0,1414.0,1414.0,train
38,1.55965342201e+18,52.22429112,5.004773612,-0.3337347507,-1.0,-1.0,165.0,165.0,train
39,1.55965342321e+18,52.22421662,5.004756718,-0.7220420837,-1.0,-1.0,165.0,165.0,train
40,1.55965343678e+18,52.22350585,5.005148665,-0.7220420837,-1.0,-1.0,505.1665233,505.1665233,train
41,1.55965343682e+18,52.22384,5.005411174,-0.7220420837,-1.0,-1.0,505.1678858,505.1678858,train
42,1.55965343803e+18,52.22378277,5.005441762,-0.7220420837,-1.0,-1.0,507.0069023,507.0069023,train
43,1.55965343805e+18,52.22378201,5.005442166,-0.7220420837,-1.0,-1.0,507.0072318,507.0072318,train
44,1.55965348304e+18,52.21109209,5.002456733,-0.7220420837,-1.0,-1.0,1670.521303,1670.521303,train
45,1.55965348307e+18,52.2060707,4.996917653,-0.7220420837,-1.0,-1.0,1670.521666,1670.521666,train
46,1.55965352112e+18,52.19225842,4.992549714,-0.7220420837,-1.0,-1.0,1414.0,1414.0,train
47,1.55965352113e+18,52.19101633,4.992492148,-0.7220420837,-1.0,-1.0,1414.0,1414.0,train
48,1.55965352115e+18,52.19039478,4.992463287,-0.7220420837,-1.0,-1.0,1414.0,1414.0,train
49,1.55965352137e+18,52.19007459,4.992447404,-0.7220420837,-1.0,-1.0,1414.0,1414.0,train
50,1.55965352137e+18,52.18992463,4.992441026,-0.7220420837,-1.0,-1.0,1414.0,1414.0,train
51,1.55965353842e+18,52.18599908,4.9899874,-0.7220420837,-1.0,-1.0,1539.538826,1539.538826,train
52,1.55965353846e+18,52.18407888,4.988270554,-0.7220420837,-1.0,-1.0,1539.539383,1539.539383,train
53,1.5596535699e+18,52.1725086,4.985629903,-0.7220420837,-1.0,-1.0,2805.0,2805.0,train
54,1.55965356993e+18,52.17089739,4.985563999,-0.7220420837,-1.0,-1.0,1414.0,1414.0,train
55,1.55965357412e+18,52.17060948,4.985423416,-0.7220420837,-1.0,-1.0,1422.459586,1422.459586,train
56,1.55965357561e+18,52.17051205,4.985375842,-0.7220420837,-1.0,-1.0,1423.542647,1423.542647,train
57,1.55965357567e+18,52.17050786,4.985373798,-0.7220420837,-1.0,-1.0,1423.544717,1423.544717,train
58,1.55965357591e+18,52.17049208,4.985366091,-0.7220420837,-1.0,-1.0,1423.574264,1423.574264,train
59,1.55965357592e+18,52.1704918,4.985365954,-0.7220420837,-1.0,-1.0,1423.574273,1423.574273,train
60,1.55965357734e+18,52.17040099,4.985321616,-0.7220420837,-1.0,-1.0,1424.57367,1424.57367,train
61,1.55965357814e+18,52.17035072,4.985297072,-0.7220420837,-1.0,-1.0,1424.892826,1424.892826,train
62,1.5596535782e+18,52.17034681,4.985295162,-0.7220420837,-1.0,-1.0,1424.894795,1424.894795,train
63,1.55965358172e+18,52.17013291,4.985190717,-0.7220420837,-1.0,-1.0,1431.01937,1431.01937,train
64,1.55965358243e+18,52.17086336,4.983694305,-0.7220420837,-1.0,-1.0,1431.27113,1431.27113,train
65,1.55965358684e+18,52.17182373,4.980546845,-0.7220420837,-1.0,-1.0,1440.897932,1440.897932,train
66,1.55965358723e+18,52.17256895,4.978641937,-0.7220420837,-1.0,-1.0,1440.975326,1440.975326,train
67,1.55965360654e+18,52.16055732,4.991017843,-0.7220420837,-1.0,-1.0,1518.0,1518.0,train
68,1.55965360658e+18,52.15555459,4.996828957,-0.7220420837,-1.0,-1.0,1518.0,1518.0,train
69,1.5596536121e+18,52.15272563,4.994789642,-0.7220420837,-1.0,-1.0,1464.0,1464.0,train
70,1.55965361213e+18,52.15178105,4.99362232,-0.7220420837,-1.0,-1.0,1464.0,1464.0,train
71,1.55965361932e+18,52.15207717,4.995508357,-0.7220420837,-1.0,-1.0,1414.0,1414.0,train
72,1.55965361934e+18,52.15263706,4.996110019,-0.7220420837,-1.0,-1.0,1414.0,1414.0,train
73,1.55965362122e+18,52.14925076,4.99907686,-0.7220420837,-1.0,-1.0,1414.0,1414.0,train
74,1.55965362125e+18,52.1476693,5.000485403,-0.7220420837,-1.0,-1.0,1414.0,1414.0,train
75,1.55965363585e+18,52.1461092,5.001531391,-0.7220420837,-1.0,-1.0,1511.372962,1511.372962,train
76,1.55965363696e+18,52.14600535,5.001601016,-0.7220420837,-1.0,-1.0,1511.961004,1511.961004,train
77,1.55965363703e+18,52.14599868,5.001605488,-0.7220420837,-1.0,-1.0,1511.963492,1511.963492,train
78,1.55965363753e+18,52.14595179,5.001636925,-0.7220420837,-1.0,-1.0,1512.087293,1512.087293,train
79,1.55965363861e+18,52.14585296,5.001703186,-0.7220420837,-1.0,-1.0,1512.649943,1512.649943,train
80,1.55965364202e+18,52.1455499,5.001906378,-0.7220420837,-1.0,-1.0,1518.263099,1518.263099,train
81,1.55965365152e+18,52.14478738,5.002417614,-0.7220420837,-1.0,-1.0,1560.033448,1560.033448,train
82,1.55965365155e+18,52.1447853,5.002419009,-0.7220420837,-1.0,-1.0,1560.033827,1560.033827,train
83,1.55965365304e+18,52.14467597,5.002492312,-0.7220420837,-1.0,-1.0,1561.094215,1561.094215,train
84,1.55965365304e+18,52.14467568,5.002492508,-0.7220420837,-1.0,-1.0,1561.094223,1561.094223,train
85,1.55965365402e+18,52.14472691,5.002335697,-0.7220420837,-1.0,-1.0,1561.554208,1561.554208,train
86,1.55965366048e+18,52.14445918,5.002408072,-0.7220420837,-1.0,-1.0,1581.046437,1581.046437,train
87,1.55965366113e+18,52.14441737,5.0024358,-0.7220420837,-1.0,-1.0,1581.2526,1581.2526,train
88,1.55965366116e+18,52.14441564,5.002436947,-0.7220420837,-1.0,-1.0,1581.252957,1581.252957,train
89,1.55965366228e+18,52.14434565,5.002483359,-0.7220420837,-1.0,-1.0,1581.846238,1581.846238,train
90,1.55965366336e+18,52.14497769,5.009600313,-0.7220420837,-1.0,-1.0,1582.403394,1582.403394,train
91,1.55965366712e+18,52.14527898,5.01415904,-0.7220420837,-1.0,-1.0,1589.089014,1589.089014,train
92,1.55965366763e+18,52.14558822,5.01692029,-0.7220420837,-1.0,-1.0,1589.213595,1589.213595,train
93,1.55965367219e+18,52.14564873,5.018785731,-0.7220420837,-1.0,-1.0,1598.927206,1598.927206,train
94,1.55965367297e+18,52.14581401,5.019827151,-0.7220420837,-1.0,-1.0,1599.213738,1599.213738,train
95,1.55965368733e+18,52.14556487,5.020899184,-0.7220420837,-1.0,-1.0,1688.321349,1688.321349,train
96,1.55965369248e+18,52.14447808,5.020583906,-0.7220420837,-1.0,-1.0,1699.670638,1699.670638,train
97,1.55965369249e+18,52.1439119,5.020246115,-0.7220420837,-1.0,-1.0,1699.670756,1699.670756,train
98,1.5596536971e+18,52.144672,5.014040419,-0.7220420837,-1.0,-1.0,1414.0,1414.0,train
99,1.55965369758e+18,52.14498054,5.011859674,-0.7220420837,-1.0,-1.0,1414.0,1414.0,train
100,1.55965370107e+18,52.14874782,5.017757364,-0.7220420837,-1.0,-1.0,1420.305989,1420.305989,train
101,1.55965370249e+18,52.15116927,5.021454326,-0.7220420837,-1.0,-1.0,1421.367199,1421.367199,train
102,1.5596537025e+18,52.15270923,5.023746816,-0.7220420837,-1.0,-1.0,1421.367237,1421.367237,train
103,1.55965370277e+18,52.15367441,5.025194116,-0.7220420837,-1.0,-1.0,1421.405023,1421.405023,train
104,1.55965370502e+18,52.15426169,5.02615324,-0.7220420837,-1.0,-1.0,1424.050306,1424.050306,train
105,1.55965371071e+18,52.15460736,5.02684092,-0.7220420837,-1.0,-1.0,1440.573643,1440.573643,train
106,1.55965371104e+18,52.15487233,5.027144917,-0.7220420837,-1.0,-1.0,1440.628662,1440.628662,train
